SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
94,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
95,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
96,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
97,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
98,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
99,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
100,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
101,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
102,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
103,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
104,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
105,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
106,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
107,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
108,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
109,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
110,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
111,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
112,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
113,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
114,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
115,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
116,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
117,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
118,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
119,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
120,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
121,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
122,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
123,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
124,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
125,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
126,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
127,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[1\]\.uWrlvl.dq_in_reg[7:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
128,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[1\]\.uWrlvl.current_state[16:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
129,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[0\]\.uWrlvl.dq_in_reg[7:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
130,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.LEVELLING.WRLVL.wrlvl_instances\[0\]\.uWrlvl.current_state[16:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
131,DDR3_0_0.CCC_0.pll_inst_0,COREDDR_TIP_INT_Z73|VCO_PHSEL_ROTATE_inferred_clock[0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.VCO_PHSEL_BCLK90_SEL[0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
132,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.rdPtr_s1[2:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.rdGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
133,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.wrPtr_s1[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.wrGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
134,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.rdPtr_s1[2:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.rdGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
135,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.wrPtr_s1[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.wrGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
136,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_ARChan.rdPtr_s1[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_ARChan.rdGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
137,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_ARChan.wrPtr_s1[2:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_ARChan.wrGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
138,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.genblk1\.cdc_WChan.rdPtr_s1[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.genblk1\.cdc_WChan.rdGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
139,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.genblk1\.cdc_WChan.wrPtr_s1[2:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.genblk1\.cdc_WChan.wrGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
140,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_AWChan.rdPtr_s1[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_AWChan.rdGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
141,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_AWChan.wrPtr_s1[2:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_AWChan.wrGrayCounter.cntGray[2:0],Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
142,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvProtConv.genblk1\.u_SlvAxi4WriteID.genblk1\.rdata_interleave_fifo.genblk1\[0\]\.ram.mem[1:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_AWChan.ram.mem[64:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
143,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvProtConv.genblk1\.u_SlvAxi4ReadID.genblk1\.rdata_interleave_fifo.genblk1\[0\]\.ram.mem[1:0],DDR3_0_0/CCC_0/pll_inst_0/OUT1,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_ARChan.ram.mem[64:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
144,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.rgsl.genblk5\.brs.holdDat[4:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.ram.mem[1:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
145,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.rgsl.genblk5\.brs.sDat[4:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_BChan.ram.mem[1:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
146,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.rgsl.genblk3\.rrs.holdDat[69:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.ram.mem[68:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
147,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.rgsl.genblk3\.rrs.sDat[69:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,Axi4Interconnect_0.Axi4Interconnect_0.SlvConvertor_loop\[0\]\.slvcnv.slvCDC.genblk1\.cdc_RChan.ram.mem[68:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.